latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
47.62809,34.32439,312.97,0.38,0.43,2021-03-04,0012,N,VIIRS,n,1,270.28,3.24,N,2
48.167145,30.61867,330.81,0.42,0.38,2021-03-04,0012,N,VIIRS,n,1,275.3,3.69,N,2
48.163769,30.617235,306.03,0.42,0.38,2021-03-04,0012,N,VIIRS,n,1,276.22,3.69,N,2
45.1292,33.877781,340.83,0.44,0.46,2021-03-04,1000,N,VIIRS,n,1,289.49,4.24,D,0
47.09309,37.605728,332.37,0.44,0.38,2021-03-04,1000,N,VIIRS,n,1,285.8,4.49,D,2
47.155598,37.529385,331.84,0.44,0.38,2021-03-04,1000,N,VIIRS,n,1,288.34,5.95,D,2
47.179676,37.519615,336.76,0.44,0.38,2021-03-04,1000,N,VIIRS,n,1,286.6,13.95,D,0
47.488518,38.184845,332.81,0.42,0.38,2021-03-04,1000,N,VIIRS,n,1,285.67,3.49,D,0
47.743065,38.464691,330.64,0.41,0.37,2021-03-04,1000,N,VIIRS,n,1,304.81,65.06,D,0
47.509556,36.992237,335.15,0.45,0.39,2021-03-04,1000,N,VIIRS,n,1,286.68,3.37,D,0
47.513023,36.990765,344.33,0.45,0.39,2021-03-04,1000,N,VIIRS,n,1,285.8,32.98,D,0
47.70013,36.212978,333.89,0.47,0.4,2021-03-04,1000,N,VIIRS,n,1,284.04,4.73,D,0
47.969128,37.443977,331.2,0.43,0.38,2021-03-04,1000,N,VIIRS,n,1,282.02,6.28,D,0
48.22403,38.233639,329.75,0.41,0.37,2021-03-04,1000,N,VIIRS,n,1,281.85,2.99,D,2
48.287144,38.089787,327.44,0.41,0.37,2021-03-04,1000,N,VIIRS,n,1,277.42,2.4,D,2
47.746227,34.559212,328.56,0.54,0.42,2021-03-04,1000,N,VIIRS,n,1,282.71,6.53,D,3
47.751446,34.564373,331.22,0.54,0.42,2021-03-04,1000,N,VIIRS,n,1,283.64,6.53,D,3
47.751987,34.56329,333.88,0.54,0.42,2021-03-04,1000,N,VIIRS,n,1,282.85,6.44,D,0
47.969021,35.465714,330.59,0.49,0.4,2021-03-04,1000,N,VIIRS,n,1,282.36,3.1,D,0
47.713085,33.773788,336.06,0.38,0.43,2021-03-04,1000,N,VIIRS,n,1,279.93,2.83,D,0
47.86834,33.391502,331.68,0.39,0.44,2021-03-04,1000,N,VIIRS,n,1,284.83,3.76,D,2
